ftCh_FingerBeamLoop_IASA | fuzzy_match  | 100.00% ->  96.47%
ftCh_FingerBeamEnd_IASA | fuzzy_match  | 100.00% ->  96.47%
ftCh_BackPunch_IASA | fuzzy_match  | 100.00% ->  96.47%
ftCh_FingerGun1_IASA | fuzzy_match  | 100.00% ->  96.47%
ftCh_BackAirplane1_IASA | fuzzy_match  | 100.00% ->  96.47%
ftCh_BackAirplane2_IASA | fuzzy_match  | 100.00% ->  96.47%
ftCh_BackAirplane3_IASA | fuzzy_match  | 100.00% ->  96.47%
ftCh_BackCrush_IASA | fuzzy_match  | 100.00% ->  96.47%
ftCh_BackDisappear_IASA | fuzzy_match  | 100.00% ->  96.47%
ftCh_Wait1_1_IASA | fuzzy_match  | 100.00% ->  96.47%
ftCh_Grab_IASA | fuzzy_match  | 100.00% ->  96.47%
ftCh_Cancel_IASA | fuzzy_match  | 100.00% ->  96.47%
ftCh_Squeezing0_IASA | fuzzy_match  | 100.00% ->  96.47%
ftCh_Squeezing1_IASA | fuzzy_match  | 100.00% ->  96.47%
ftCh_Squeeze_IASA | fuzzy_match  | 100.00% ->  96.47%
ftCh_Throw_IASA | fuzzy_match  | 100.00% ->  96.47%
ftCh_Slam_IASA | fuzzy_match  | 100.00% ->  96.47%
ftCh_Fail_IASA | fuzzy_match  | 100.00% ->  96.47%
ftCh_TagCrush_IASA | fuzzy_match  | 100.00% ->  96.47%
ftCh_TagApplaud_IASA | fuzzy_match  | 100.00% ->  96.47%
ftCh_TagRockPaper_IASA | fuzzy_match  | 100.00% ->  96.47%
ftCh_FingerGun2_IASA | fuzzy_match  | 100.00% ->  96.47%
ftCh_TagGrab_IASA | fuzzy_match  | 100.00% ->  96.47%
ftCh_TagFail_IASA | fuzzy_match  | 100.00% ->  96.47%
ftBossLib_8015BDB4 | fuzzy_match  | 100.00% ->  84.00%
ftBossLib_8015C3E8 | fuzzy_match  | 100.00% ->  84.40%
ftBossLib_8015C44C | fuzzy_match  | 100.00% ->  86.67%
ftBossLib_8015C4C4 | fuzzy_match  | 100.00% ->  94.07%
ftBossLib_8015C530 | fuzzy_match  | 100.00% ->  96.80%
ftBossLib_8015C6BC | fuzzy_match  | 100.00% ->  95.56%
ftBossLib_8015C74C | fuzzy_match  | 100.00% ->  96.00%
ftBossLib_8015C7EC | fuzzy_match  | 100.00% ->  96.00%
ftBossLib_8015C88C | fuzzy_match  | 100.00% ->  96.00%
ftBossLib_8015C92C | fuzzy_match  | 100.00% ->  96.00%
ftBossLib_8015C9CC | fuzzy_match  | 100.00% ->  96.00%
ftBossLib_8015CA6C | fuzzy_match  | 100.00% ->  95.29%
gm_80160474 | fuzzy_match  | 100.00% ->  87.31%
gm_801604DC | fuzzy_match  | 100.00% ->  85.29%
gm_80160564 | fuzzy_match  | 100.00% ->  85.29%
fn_80165108 | fuzzy_match  | 100.00% ->  93.53%
fn_80165190 | fuzzy_match  | 100.00% ->  91.85%
fn_801651FC | fuzzy_match  | 100.00% ->  91.85%
gm_801693BC | fuzzy_match  | 100.00% ->  96.67%
gm_801694A0 | fuzzy_match  | 100.00% ->  95.00%
gm_8016B558 | fuzzy_match  | 100.00% ->  92.73%
fn_8016B5B0 | fuzzy_match  | 100.00% ->  97.95%
fn_8016B918 | fuzzy_match  | 100.00% ->  97.31%
fn_8016BC74 | fuzzy_match  | 100.00% ->  98.78%
gm_8016BE80 | fuzzy_match  | 100.00% ->  97.38%
fn_8016BF74 | fuzzy_match  | 100.00% ->  98.12%
fn_8016C0C8 | fuzzy_match  | 100.00% ->  98.06%
fn_8016D8AC | fuzzy_match  | 100.00% ->  97.01%
fn_8016DEEC | fuzzy_match  |  96.82% ->  93.44%
fn_8016E124 | fuzzy_match  | 100.00% ->  95.29%
fn_8016E2BC | fuzzy_match  |  92.97% ->  88.72%
gm_8016E9C8 | fuzzy_match  | 100.00% ->  98.73%
gm_8016ECE8 | fuzzy_match  |  99.18% ->  95.57%
gm_8016EDDC | fuzzy_match  |  98.69% ->  95.36%
gm_80173EEC | fuzzy_match  |  99.06% ->  97.61%
fn_80174FD0 | fuzzy_match  | 100.00% ->  99.92%
gm_80177368_OnEnter | fuzzy_match  |  99.25% ->  98.77%
fn_80181BFC | fuzzy_match  | 100.00% ->  95.15%
fn_801873F0 | fuzzy_match  | 100.00% ->  93.54%
fn_8018F6FC | fuzzy_match  | 100.00% ->  72.50%
gm_801905F0 | fuzzy_match  |  98.22% ->  97.42%
fn_8019EE80 | fuzzy_match  | 100.00% ->  99.94%
fn_8019EF08 | fuzzy_match  | 100.00% ->  86.64%
gm_801A5680 | fuzzy_match  | 100.00% ->  98.11%
gm_801A637C_OnEnter | fuzzy_match  | 100.00% ->  98.40%
gm_801A659C | fuzzy_match  | 100.00% ->  91.89%
gm_801A68D8 | fuzzy_match  | 100.00% ->  99.35%
gm_801A6EE4 | fuzzy_match  | 100.00% ->  98.18%
gm_801A7070_OnEnter | fuzzy_match  |  98.85% ->  98.48%
gm_801A9B30_OnEnter | fuzzy_match  |  99.97% ->  99.47%
gm_801AC6D8_OnEnter | fuzzy_match  |  96.48% ->  96.15%
fn_801AD920 | fuzzy_match  | 100.00% ->  99.99%
gm_801B0FF8 | fuzzy_match  | 100.00% ->  99.72%
gm_801B25D4 | fuzzy_match  | 100.00% ->  98.15%
gm_801B3F40 | fuzzy_match  | 100.00% ->  95.75%
gm_801B9600 | fuzzy_match  | 100.00% ->  97.24%
fn_801B96E8 | fuzzy_match  | 100.00% ->  97.09%
fn_801B9850 | fuzzy_match  | 100.00% ->  95.79%
gm_801BA938 | fuzzy_match  | 100.00% ->  99.73%
gm_801BC4F4 | fuzzy_match  | 100.00% ->  98.32%
gm_801BC754 | fuzzy_match  | 100.00% ->  99.03%
gm_801BCAF0 | fuzzy_match  | 100.00% ->  98.50%
gm_801BD658 | fuzzy_match  | 100.00% ->  98.48%
gm_801BE39C | fuzzy_match  | 100.00% ->  98.74%
gm_801BEE9C | fuzzy_match  | 100.00% ->  95.52%
gm_801BF3F8 | fuzzy_match  | 100.00% ->  98.25%
gm_801BF4DC | fuzzy_match  | 100.00% ->  98.78%
Ground_801C0A70 | fuzzy_match  | 100.00% ->  95.14%
Ground_801C24F8 | fuzzy_match  | 100.00% ->  99.32%
Ground_801C4DD0 | fuzzy_match  | 100.00% ->  94.00%
